Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
21,No,Travel_Rarely,501,Sales,5,1,Medical,1,2021,3,58,3,1,Sales Representative,1,Single,2380,25479,1,Y,Yes,11,3,4,80,0,2,6,3,2,2,1,2
45,No,Non-Travel,1195,Research & Development,2,2,Medical,1,264,1,65,2,4,Manager,4,Married,16792,20462,9,Y,No,23,4,4,80,1,22,1,3,20,8,11,8
22,Yes,Travel_Rarely,391,Research & Development,7,1,Life Sciences,1,1878,4,75,3,1,Research Scientist,2,Single,2472,26092,1,Y,Yes,23,4,1,80,0,1,2,3,1,0,0,0
30,No,Travel_Frequently,1312,Research & Development,2,4,Technical Degree,1,1745,4,78,2,1,Research Scientist,1,Single,4968,26427,0,Y,No,16,3,4,80,0,10,2,3,9,7,0,7
55,Yes,Travel_Rarely,436,Sales,2,1,Medical,1,842,3,37,3,2,Sales Executive,4,Single,5160,21519,4,Y,No,16,3,3,80,0,12,3,2,9,7,7,3
54,No,Travel_Rarely,1082,Sales,2,4,Life Sciences,1,1070,3,41,2,3,Sales Executive,3,Married,10686,8392,6,Y,No,11,3,2,80,1,13,4,3,9,4,7,0
60,No,Travel_Rarely,370,Research & Development,1,4,Medical,1,1697,3,92,1,3,Healthcare Representative,4,Divorced,10883,20467,3,Y,No,20,4,3,80,1,19,2,4,1,0,0,0
44,No,Travel_Rarely,170,Research & Development,1,4,Life Sciences,1,1903,2,78,4,2,Healthcare Representative,1,Married,5033,9364,2,Y,No,15,3,4,80,1,10,5,3,2,0,2,2
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,49,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8
38,No,Travel_Rarely,1206,Research & Development,9,2,Life Sciences,1,1940,2,71,3,1,Research Scientist,4,Divorced,4771,14293,2,Y,No,19,3,4,80,2,10,0,4,5,2,0,3
34,No,Travel_Rarely,1397,Research & Development,1,5,Life Sciences,1,683,2,42,3,1,Research Scientist,4,Married,2691,7660,1,Y,No,12,3,4,80,1,10,4,2,10,9,8,8
36,Yes,Travel_Rarely,660,Research & Development,15,3,Other,1,1052,1,81,3,2,Laboratory Technician,3,Divorced,4834,7858,7,Y,No,14,3,2,80,1,9,3,2,1,0,0,0
36,No,Travel_Rarely,429,Research & Development,2,4,Life Sciences,1,1294,3,53,3,2,Manufacturing Director,2,Single,5410,2323,9,Y,Yes,11,3,4,80,0,18,2,3,16,14,5,12
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,2,66,3,2,Research Scientist,2,Married,6220,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9
49,No,Travel_Frequently,1064,Research & Development,2,1,Life Sciences,1,1941,2,42,3,5,Research Director,4,Married,19161,13738,3,Y,No,15,3,4,80,0,28,3,3,5,4,4,3
33,No,Travel_Rarely,832,Research & Development,5,4,Life Sciences,1,338,3,63,2,1,Research Scientist,4,Married,2911,14776,1,Y,No,13,3,3,80,1,2,2,2,2,2,0,2
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,155,1,39,3,1,Laboratory Technician,4,Divorced,2835,2561,5,Y,No,22,4,1,80,1,7,2,3,1,0,0,0
42,Yes,Travel_Frequently,481,Sales,12,3,Life Sciences,1,1167,3,44,3,4,Sales Executive,1,Single,13758,2447,0,Y,Yes,12,3,2,80,0,22,2,2,21,9,13,14
26,No,Travel_Frequently,921,Research & Development,1,1,Medical,1,1068,1,66,2,1,Research Scientist,3,Divorced,2007,25265,1,Y,No,13,3,3,80,2,5,5,3,5,3,1,3
41,No,Travel_Rarely,918,Sales,6,3,Marketing,1,1708,4,35,3,3,Sales Executive,3,Single,9241,15869,1,Y,No,12,3,2,80,0,10,3,3,10,8,8,7
37,No,Non-Travel,142,Sales,9,4,Medical,1,626,1,69,3,3,Sales Executive,2,Divorced,8834,24666,1,Y,No,13,3,4,80,1,9,6,3,9,5,7,7
46,Yes,Travel_Rarely,377,Sales,9,3,Marketing,1,1457,1,52,3,3,Sales Executive,4,Divorced,10096,15986,4,Y,No,11,3,1,80,1,28,1,4,7,7,4,3
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,30,2,1,Research Scientist,3,Single,2859,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4
33,No,Travel_Frequently,1303,Research & Development,7,2,Life Sciences,1,1970,4,36,3,2,Healthcare Representative,3,Divorced,5968,18079,1,Y,No,20,4,3,80,3,9,2,3,9,7,2,8
41,No,Travel_Rarely,447,Research & Development,5,3,Life Sciences,1,1814,2,85,4,2,Healthcare Representative,2,Single,6870,15530,3,Y,No,12,3,1,80,0,11,3,1,3,2,1,2
43,No,Travel_Rarely,1291,Research & Development,15,2,Life Sciences,1,1666,3,65,2,4,Research Director,3,Married,17603,3525,1,Y,No,24,4,1,80,1,14,3,3,14,10,6,11
26,No,Travel_Frequently,1283,Sales,1,3,Medical,1,956,3,52,2,2,Sales Executive,1,Single,4294,11148,1,Y,No,12,3,2,80,0,7,2,3,7,7,0,7
27,No,Travel_Rarely,608,Research & Development,1,2,Life Sciences,1,725,3,68,3,3,Manufacturing Director,1,Married,7412,6009,1,Y,No,11,3,4,80,0,9,3,3,9,7,0,7
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,1,139,3,100,2,2,Healthcare Representative,4,Divorced,5163,15850,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0
47,No,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,1,447,4,42,3,5,Research Director,3,Married,18300,16375,4,Y,No,11,3,2,80,1,21,2,3,3,2,1,1
37,No,Non-Travel,1413,Research & Development,5,2,Technical Degree,1,1440,3,84,4,1,Laboratory Technician,3,Single,3500,25470,0,Y,No,14,3,1,80,0,7,2,1,6,5,1,3
38,No,Travel_Rarely,833,Research & Development,18,3,Medical,1,1766,2,60,1,2,Healthcare Representative,4,Married,5811,24539,3,Y,Yes,16,3,3,80,1,15,2,3,1,0,1,0
37,No,Travel_Rarely,977,Research & Development,1,3,Life Sciences,1,1196,4,56,2,2,Manufacturing Director,4,Married,6474,9961,1,Y,No,13,3,2,80,1,14,2,2,14,8,3,11
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,1,118,3,64,2,3,Sales Executive,4,Single,9619,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7
38,No,Travel_Frequently,888,Human Resources,10,4,Human Resources,1,1563,3,71,3,2,Human Resources,3,Married,6077,14814,3,Y,No,11,3,3,80,0,10,2,3,6,3,1,2
24,No,Travel_Rarely,1371,Sales,10,4,Marketing,1,507,4,77,3,2,Sales Executive,3,Divorced,4260,5915,1,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3
35,No,Travel_Frequently,944,Sales,1,3,Marketing,1,314,3,92,3,3,Sales Executive,3,Single,8789,9096,1,Y,No,14,3,1,80,0,10,3,4,10,7,0,8
29,No,Travel_Rarely,1401,Research & Development,6,1,Medical,1,1192,2,54,3,1,Laboratory Technician,4,Married,3131,26342,1,Y,No,13,3,1,80,1,10,5,3,10,8,0,8
39,No,Travel_Rarely,119,Sales,15,4,Marketing,1,1975,2,77,3,4,Sales Executive,1,Single,13341,25098,0,Y,No,12,3,1,80,0,21,3,3,20,8,11,10
32,No,Non-Travel,1109,Research & Development,29,4,Medical,1,1046,4,69,3,1,Laboratory Technician,3,Single,4025,11135,9,Y,No,12,3,2,80,0,10,2,3,8,7,7,7
39,Yes,Travel_Rarely,1122,Research & Development,6,3,Medical,1,932,4,70,3,1,Laboratory Technician,1,Married,2404,4303,7,Y,Yes,21,4,4,80,0,8,2,1,2,2,2,2
34,No,Non-Travel,1381,Sales,4,4,Marketing,1,523,3,72,3,2,Sales Executive,3,Married,6538,12740,9,Y,No,15,3,1,80,1,6,3,3,3,2,1,2
27,No,Travel_Frequently,1131,Research & Development,15,3,Life Sciences,1,1870,4,77,2,1,Research Scientist,1,Married,4774,23844,0,Y,No,19,3,4,80,1,8,2,2,7,6,7,3
46,No,Travel_Rarely,1003,Research & Development,8,4,Life Sciences,1,1080,4,74,2,2,Research Scientist,1,Divorced,4615,21029,8,Y,Yes,23,4,1,80,3,19,2,3,16,13,1,7
31,No,Travel_Rarely,218,Sales,7,3,Technical Degree,1,416,2,100,4,2,Sales Executive,4,Married,6929,12241,4,Y,No,11,3,2,80,1,10,3,2,8,7,7,7
56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,1,161,2,72,3,1,Research Scientist,2,Married,4963,4510,9,Y,Yes,18,3,1,80,3,7,2,3,5,4,4,3
30,No,Non-Travel,879,Research & Development,9,2,Medical,1,1298,3,72,3,2,Manufacturing Director,3,Single,4695,12858,7,Y,Yes,18,3,3,80,0,10,3,3,8,4,1,7
42,No,Travel_Rarely,300,Research & Development,2,3,Life Sciences,1,2031,1,56,3,5,Manager,3,Married,18880,17312,5,Y,No,11,3,1,80,0,24,2,2,22,6,4,14
26,No,Travel_Frequently,1096,Research & Development,6,3,Other,1,1918,3,61,4,1,Laboratory Technician,4,Married,2544,7102,0,Y,No,18,3,1,80,1,8,3,3,7,7,7,7
32,No,Travel_Frequently,430,Research & Development,24,4,Life Sciences,1,772,1,80,3,2,Laboratory Technician,4,Married,5309,21146,1,Y,No,15,3,4,80,2,10,2,3,10,8,4,7
39,No,Travel_Rarely,116,Research & Development,24,1,Life Sciences,1,2014,1,52,3,2,Research Scientist,4,Single,4108,5340,7,Y,No,13,3,1,80,0,18,2,3,7,7,1,7
32,No,Travel_Rarely,824,Research & Development,5,2,Life Sciences,1,1555,4,67,2,2,Research Scientist,2,Married,5878,15624,3,Y,No,12,3,1,80,1,12,2,3,7,1,2,5
27,No,Travel_Rarely,1130,Sales,8,4,Marketing,1,458,2,56,3,2,Sales Executive,2,Married,6214,3415,1,Y,No,18,3,1,80,1,8,3,3,8,7,0,7
27,No,Travel_Rarely,1469,Research & Development,1,2,Medical,1,497,4,82,3,1,Laboratory Technician,2,Divorced,3816,17881,1,Y,No,11,3,2,80,1,5,2,3,5,2,0,4
31,Yes,Travel_Frequently,561,Research & Development,3,3,Life Sciences,1,1537,4,33,3,1,Research Scientist,3,Single,4084,4156,1,Y,No,12,3,1,80,0,7,2,1,7,2,7,7
40,No,Travel_Rarely,884,Research & Development,15,3,Life Sciences,1,1628,1,80,2,3,Manufacturing Director,3,Married,10435,25800,1,Y,No,13,3,4,80,2,18,2,3,18,15,14,12
50,Yes,Travel_Frequently,959,Sales,1,4,Other,1,1113,4,81,3,2,Sales Executive,3,Single,4728,17251,3,Y,Yes,14,3,4,80,0,5,4,3,0,0,0,0
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143,4,64,2,1,Research Scientist,4,Married,2889,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1
33,Yes,Travel_Rarely,1277,Research & Development,15,1,Medical,1,582,2,56,3,3,Manager,3,Married,13610,24619,7,Y,Yes,12,3,4,80,0,15,2,4,7,6,7,7
54,No,Travel_Rarely,685,Research & Development,3,3,Life Sciences,1,1250,4,85,3,4,Research Director,4,Married,17779,23474,3,Y,No,14,3,1,80,0,36,2,3,10,9,0,9
59,No,Travel_Rarely,1429,Research & Development,18,4,Medical,1,1283,4,67,3,3,Manufacturing Director,4,Single,10512,20002,6,Y,No,12,3,4,80,0,25,6,2,9,7,5,4
43,No,Travel_Rarely,531,Sales,4,4,Marketing,1,1293,4,56,2,3,Sales Executive,4,Single,10231,20364,3,Y,No,14,3,4,80,0,23,3,4,21,7,15,17
22,No,Travel_Rarely,604,Research & Development,6,1,Medical,1,675,1,69,3,1,Research Scientist,3,Married,2773,12145,0,Y,No,20,4,4,80,0,3,3,3,2,2,2,2
54,No,Travel_Rarely,431,Research & Development,7,4,Medical,1,1830,4,68,3,2,Research Scientist,4,Married,6854,15696,4,Y,No,15,3,2,80,1,14,2,2,7,1,1,7
44,No,Travel_Rarely,1117,Research & Development,2,1,Life Sciences,1,1246,1,72,4,1,Research Scientist,4,Married,2011,19982,1,Y,No,13,3,4,80,1,10,5,3,10,5,7,7
39,No,Travel_Frequently,945,Research & Development,22,3,Medical,1,1043,4,82,3,3,Manufacturing Director,1,Single,10880,5083,1,Y,Yes,13,3,3,80,0,21,2,3,21,6,2,8
39,No,Travel_Rarely,170,Research & Development,3,2,Medical,1,1627,3,76,2,2,Laboratory Technician,3,Divorced,3069,10302,0,Y,No,15,3,4,80,1,11,3,3,10,8,0,7
33,No,Travel_Rarely,392,Sales,2,4,Medical,1,1670,4,93,3,2,Sales Executive,4,Divorced,5505,3921,1,Y,No,14,3,3,80,2,6,5,3,6,2,0,4
40,Yes,Travel_Rarely,299,Sales,25,4,Marketing,1,1318,4,57,2,3,Sales Executive,2,Single,9094,17235,2,Y,Yes,12,3,3,80,0,9,2,3,5,4,1,0
35,No,Travel_Rarely,670,Research & Development,10,4,Medical,1,1587,1,51,3,2,Healthcare Representative,3,Single,6142,4223,3,Y,Yes,16,3,3,80,0,10,4,3,5,2,0,4
35,No,Travel_Frequently,636,Research & Development,4,4,Other,1,1185,4,47,2,1,Laboratory Technician,4,Married,2376,26537,1,Y,No,13,3,2,80,1,2,2,4,2,2,2,2
50,No,Travel_Frequently,1246,Human Resources,3,3,Medical,1,644,1,99,3,5,Manager,2,Married,18200,7999,1,Y,No,11,3,3,80,1,32,2,3,32,5,10,7
31,No,Travel_Rarely,140,Research & Development,12,1,Medical,1,246,3,95,3,1,Research Scientist,4,Married,3929,6984,8,Y,Yes,23,4,3,80,1,7,0,3,4,2,0,2
25,No,Travel_Rarely,1356,Sales,10,4,Life Sciences,1,1240,3,57,3,2,Sales Executive,4,Single,4950,20623,0,Y,No,14,3,2,80,0,5,4,3,4,3,1,1
37,No,Travel_Frequently,889,Research & Development,9,3,Medical,1,403,2,53,3,1,Research Scientist,4,Married,2326,11411,1,Y,Yes,12,3,3,80,3,4,3,2,4,2,1,2
53,No,Travel_Frequently,124,Sales,2,3,Marketing,1,1050,3,38,2,3,Sales Executive,2,Married,7525,23537,2,Y,No,12,3,1,80,1,30,2,3,15,7,6,12
52,No,Travel_Frequently,322,Research & Development,28,2,Medical,1,1401,4,59,4,4,Manufacturing Director,3,Married,13247,9731,2,Y,Yes,11,3,2,80,1,24,3,2,5,3,0,2
47,No,Travel_Frequently,1379,Research & Development,16,4,Medical,1,987,3,64,4,2,Manufacturing Director,3,Divorced,5067,6759,1,Y,Yes,19,3,3,80,0,20,3,4,19,10,2,7
29,Yes,Travel_Rarely,805,Research & Development,1,2,Life Sciences,1,816,2,36,2,1,Laboratory Technician,1,Married,2319,6689,1,Y,Yes,11,3,4,80,1,1,1,3,1,0,0,0
23,No,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,1,465,3,83,3,1,Research Scientist,4,Divorced,2904,16092,1,Y,No,12,3,3,80,2,4,2,2,4,2,0,2
46,No,Travel_Rarely,1402,Sales,2,3,Marketing,1,1204,3,69,3,4,Manager,1,Married,17048,24097,8,Y,No,23,4,1,80,0,28,2,3,26,15,15,9
35,No,Travel_Rarely,1370,Research & Development,27,4,Life Sciences,1,1728,4,49,3,2,Manufacturing Director,3,Married,6883,5151,2,Y,No,16,3,2,80,1,17,3,3,7,7,0,7
43,No,Travel_Frequently,1001,Research & Development,9,5,Medical,1,663,4,72,3,2,Laboratory Technician,3,Divorced,5679,19627,3,Y,Yes,13,3,2,80,1,10,3,3,8,7,4,7
28,No,Travel_Rarely,995,Research & Development,9,3,Medical,1,930,3,77,3,1,Research Scientist,3,Divorced,2377,9834,5,Y,No,18,3,2,80,1,6,2,3,2,2,2,2
34,No,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,1,579,4,62,2,1,Research Scientist,3,Divorced,2768,8416,3,Y,No,12,3,3,80,1,14,3,3,7,3,5,7
46,No,Travel_Rarely,150,Research & Development,2,4,Technical Degree,1,1228,4,60,3,2,Manufacturing Director,4,Divorced,7379,17433,2,Y,No,11,3,3,80,1,12,3,2,6,3,1,4
43,No,Travel_Rarely,930,Research & Development,6,3,Medical,1,1402,1,73,2,2,Research Scientist,3,Single,4081,20003,1,Y,Yes,14,3,1,80,0,20,3,1,20,7,1,8
29,No,Travel_Rarely,1210,Sales,2,3,Medical,1,366,1,78,2,2,Sales Executive,2,Married,6644,3687,2,Y,No,19,3,2,80,2,10,2,3,0,0,0,0
30,Yes,Travel_Rarely,945,Sales,9,3,Medical,1,1876,2,89,3,1,Sales Representative,4,Single,1081,16019,1,Y,No,13,3,3,80,0,1,3,2,1,0,0,0
45,No,Travel_Rarely,950,Research & Development,28,3,Technical Degree,1,1546,4,97,3,1,Research Scientist,4,Married,2132,4585,4,Y,No,20,4,4,80,1,8,3,3,5,4,0,3
31,No,Travel_Rarely,688,Sales,7,3,Life Sciences,1,613,3,44,2,3,Manager,4,Divorced,11557,25291,9,Y,No,21,4,3,80,1,10,3,2,5,4,0,1
32,Yes,Travel_Rarely,1259,Research & Development,2,4,Life Sciences,1,1692,4,95,3,1,Laboratory Technician,2,Single,1393,24852,1,Y,No,12,3,1,80,0,1,2,3,1,0,0,0
35,No,Travel_Rarely,1361,Sales,17,4,Life Sciences,1,1218,3,94,3,2,Sales Executive,1,Married,8966,21026,3,Y,Yes,15,3,4,80,3,15,2,3,7,7,1,7
31,Yes,Travel_Rarely,202,Research & Development,8,3,Life Sciences,1,1433,1,34,2,1,Research Scientist,2,Single,1261,22262,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0
29,No,Travel_Rarely,1247,Sales,20,2,Marketing,1,349,4,45,3,2,Sales Executive,4,Divorced,6931,10732,2,Y,No,14,3,4,80,1,10,2,3,3,2,0,2
37,No,Travel_Rarely,228,Sales,6,4,Medical,1,378,3,98,3,2,Sales Executive,4,Married,6502,22825,4,Y,No,14,3,2,80,1,7,5,4,5,4,0,1
51,No,Travel_Rarely,1469,Research & Development,8,4,Life Sciences,1,296,2,81,2,3,Research Director,2,Married,12490,15736,5,Y,No,16,3,4,80,2,16,5,1,10,9,4,7
38,No,Travel_Frequently,1391,Research & Development,10,1,Medical,1,1006,3,66,3,1,Research Scientist,3,Married,2684,12127,0,Y,No,17,3,2,80,1,3,0,2,2,1,0,2
31,Yes,Travel_Frequently,703,Sales,2,3,Life Sciences,1,1379,3,90,2,1,Sales Representative,4,Single,2785,11882,7,Y,No,14,3,3,80,0,3,3,4,1,0,0,0
29,Yes,Travel_Rarely,224,Research & Development,1,4,Technical Degree,1,1522,1,100,2,1,Research Scientist,1,Single,2362,7568,6,Y,No,13,3,3,80,0,11,2,1,9,7,0,7
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,2,95,2,2,Manufacturing Director,2,Single,6499,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3
34,No,Travel_Rarely,1157,Research & Development,5,2,Medical,1,1696,2,57,2,2,Laboratory Technician,4,Married,3986,11912,1,Y,No,14,3,3,80,1,15,3,4,15,10,4,13
35,No,Travel_Rarely,1146,Human Resources,26,4,Life Sciences,1,2040,3,31,3,3,Human Resources,4,Single,8837,16642,1,Y,Yes,16,3,3,80,0,9,2,3,9,0,1,7
27,No,Travel_Rarely,894,Research & Development,9,3,Medical,1,260,4,99,3,1,Research Scientist,2,Single,2279,11781,1,Y,No,16,3,4,80,0,7,2,2,7,7,0,3
36,No,Travel_Rarely,329,Sales,16,4,Marketing,1,1436,3,98,2,2,Sales Executive,1,Married,5647,13494,4,Y,No,13,3,1,80,2,11,3,2,3,2,0,2
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8
21,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,1,494,3,90,4,1,Sales Representative,2,Single,2716,25422,1,Y,No,15,3,4,80,0,1,0,3,1,0,0,0
58,No,Travel_Rarely,605,Sales,21,3,Life Sciences,1,1938,4,72,3,4,Manager,4,Married,17875,11761,4,Y,Yes,13,3,3,80,1,29,2,2,1,0,0,0
38,No,Travel_Rarely,437,Sales,16,3,Life Sciences,1,1583,2,90,3,2,Sales Executive,2,Single,4198,16379,2,Y,No,12,3,2,80,0,8,5,4,3,2,1,2
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2
29,No,Travel_Rarely,469,Sales,10,3,Medical,1,1650,3,42,2,2,Sales Executive,3,Single,5869,23413,9,Y,No,11,3,3,80,0,8,2,3,5,2,1,4
18,No,Non-Travel,1124,Research & Development,1,3,Life Sciences,1,1368,4,97,3,1,Laboratory Technician,4,Single,1611,19305,1,Y,No,15,3,3,80,0,0,5,4,0,0,0,0
47,No,Travel_Rarely,1225,Sales,2,4,Life Sciences,1,1676,2,47,4,4,Manager,2,Divorced,15972,21086,6,Y,No,14,3,3,80,3,29,2,3,3,2,1,2
38,No,Travel_Rarely,702,Sales,1,4,Life Sciences,1,230,1,59,2,2,Sales Executive,4,Single,8686,12930,4,Y,No,22,4,3,80,0,12,2,4,8,3,0,7
30,No,Travel_Frequently,160,Research & Development,3,3,Medical,1,680,3,71,3,1,Research Scientist,3,Divorced,2083,22653,1,Y,No,20,4,3,80,1,1,2,3,1,0,0,0
30,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,1,533,2,83,3,2,Sales Executive,3,Single,6577,19558,0,Y,No,11,3,2,80,0,6,6,3,5,4,4,4
19,Yes,Travel_Rarely,528,Sales,22,1,Marketing,1,167,4,50,3,1,Sales Representative,3,Single,1675,26820,1,Y,Yes,19,3,4,80,0,0,2,2,0,0,0,0
30,No,Travel_Rarely,979,Sales,15,2,Marketing,1,1754,3,94,2,3,Sales Executive,1,Divorced,7140,3088,2,Y,No,11,3,1,80,1,12,2,3,7,7,1,7
44,No,Travel_Rarely,1448,Sales,28,3,Medical,1,1039,4,53,4,4,Sales Executive,4,Married,13320,11737,3,Y,Yes,18,3,3,80,1,23,2,3,12,11,11,11
36,No,Non-Travel,427,Research & Development,8,3,Life Sciences,1,742,1,63,4,3,Research Director,1,Married,11713,20335,9,Y,No,14,3,1,80,1,10,2,3,8,7,0,5
47,No,Travel_Rarely,955,Sales,4,2,Life Sciences,1,1003,4,83,3,2,Sales Executive,4,Single,4163,8571,1,Y,Yes,17,3,3,80,0,9,0,3,9,0,0,7
34,No,Travel_Frequently,1069,Research & Development,2,1,Life Sciences,1,256,4,45,2,2,Manufacturing Director,3,Married,9547,14074,1,Y,No,17,3,3,80,0,10,2,2,10,9,1,9
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,94,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7
35,No,Travel_Rarely,185,Research & Development,23,4,Medical,1,1826,2,91,1,1,Laboratory Technician,3,Married,2705,9696,0,Y,No,16,3,2,80,1,6,2,4,5,4,0,3
42,No,Travel_Rarely,419,Sales,12,4,Marketing,1,1943,2,77,3,2,Sales Executive,4,Divorced,5087,2900,3,Y,Yes,12,3,3,80,2,14,4,3,0,0,0,0
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2
38,No,Travel_Rarely,1035,Sales,3,4,Life Sciences,1,1036,2,42,3,2,Sales Executive,4,Single,6861,4981,8,Y,Yes,12,3,3,80,0,19,1,3,1,0,0,0
32,No,Travel_Frequently,1311,Research & Development,7,3,Life Sciences,1,359,2,100,4,1,Laboratory Technician,2,Married,2794,26062,1,Y,No,20,4,3,80,0,5,3,1,5,1,0,3
32,No,Non-Travel,300,Research & Development,1,3,Life Sciences,1,882,4,61,3,1,Laboratory Technician,4,Divorced,2314,9148,0,Y,No,12,3,2,80,1,4,2,3,3,0,0,2
38,No,Travel_Rarely,433,Human Resources,1,3,Human Resources,1,1152,3,37,4,1,Human Resources,3,Married,2844,6004,1,Y,No,13,3,4,80,1,7,2,4,7,6,5,0
34,No,Travel_Rarely,971,Sales,1,3,Technical Degree,1,1535,4,64,2,3,Sales Executive,3,Married,7083,12288,1,Y,Yes,14,3,4,80,0,10,3,3,10,9,8,6
42,No,Travel_Rarely,635,Sales,1,1,Life Sciences,1,387,2,99,3,2,Sales Executive,3,Married,4907,24532,1,Y,No,25,4,3,80,0,20,3,3,20,16,11,6
41,No,Travel_Frequently,857,Research & Development,10,3,Life Sciences,1,199,4,91,2,4,Manager,1,Divorced,17181,12888,4,Y,No,13,3,2,80,1,21,2,2,7,6,7,7
58,No,Travel_Rarely,1055,Research & Development,1,3,Medical,1,1423,4,76,3,5,Research Director,1,Married,19701,22456,3,Y,Yes,21,4,3,80,1,32,3,3,9,8,1,5
48,Yes,Travel_Frequently,708,Sales,7,2,Medical,1,1691,4,95,3,1,Sales Representative,3,Married,2655,11740,2,Y,Yes,11,3,3,80,2,19,3,3,9,7,7,7
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,47,2,2,Sales Executive,4,Married,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0
54,No,Travel_Rarely,584,Research & Development,22,5,Medical,1,1665,2,91,3,4,Manager,3,Married,17426,18685,3,Y,No,25,4,3,80,1,36,6,3,10,8,4,7
47,No,Travel_Rarely,571,Sales,14,3,Medical,1,1503,3,78,3,2,Sales Executive,3,Married,4591,24200,3,Y,Yes,17,3,3,80,1,11,4,2,5,4,1,2
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116,4,96,3,1,Laboratory Technician,4,Married,2075,18725,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3
36,No,Travel_Rarely,1351,Research & Development,26,4,Life Sciences,1,1682,1,80,3,2,Healthcare Representative,3,Married,5347,7419,6,Y,No,14,3,2,80,2,10,2,2,3,2,0,2
28,No,Travel_Rarely,1476,Research & Development,16,2,Medical,1,412,2,68,4,2,Healthcare Representative,1,Single,5661,4824,0,Y,No,19,3,3,80,0,9,2,3,8,3,0,7
46,No,Travel_Rarely,1450,Research & Development,15,2,Life Sciences,1,1217,4,52,3,5,Research Director,2,Married,19081,10849,5,Y,No,11,3,1,80,1,25,2,3,4,2,0,3
42,No,Travel_Frequently,570,Research & Development,8,3,Life Sciences,1,809,2,66,3,5,Manager,4,Divorced,18430,16225,1,Y,No,13,3,2,80,1,24,4,2,24,7,14,9
34,No,Travel_Rarely,1130,Research & Development,3,3,Life Sciences,1,1658,4,66,3,2,Research Scientist,2,Divorced,5433,19332,1,Y,No,12,3,3,80,1,11,2,3,11,8,7,9
37,No,Travel_Frequently,1231,Sales,21,2,Medical,1,900,3,54,3,1,Sales Representative,4,Married,2973,21222,5,Y,No,15,3,2,80,1,10,3,3,5,4,0,0
58,Yes,Travel_Rarely,286,Research & Development,2,4,Life Sciences,1,825,4,31,3,5,Research Director,2,Single,19246,25761,7,Y,Yes,12,3,4,80,0,40,2,3,31,15,13,8
36,No,Travel_Rarely,938,Research & Development,2,4,Medical,1,958,3,79,3,1,Laboratory Technician,3,Single,2519,12287,4,Y,No,21,4,3,80,0,16,6,3,11,8,3,9
